"Idx","SeqId","AltSeqId","TId","Layer","Trace","Direction","Sub","Module","Op","Kernel","Params","Sil(ns)","TC","Device","Stream","Grid","Block","FLOPs","Bytes"
"1","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","0","Tensor","__radd__","elementwise_kernel","T=[(1,)],fp32,","2945","-","0","7","1,1,1","128,1,1","1.0","8"
"2","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","0","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2272","-","0","7","1,1,1","128,1,1","1.0","8"
"3","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","1","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2529","-","0","7","1,1,1","128,1,1","1.0","8"
"4","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","2","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2272","-","0","7","1,1,1","128,1,1","1.0","8"
"5","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","3","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2463","-","0","7","1,1,1","128,1,1","1.0","8"
"6","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","4","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2495","-","0","7","1,1,1","128,1,1","1.0","8"
"7","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","5","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","1728","-","0","7","1,1,1","128,1,1","1.0","8"
"8","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","6","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2432","-","0","7","1,1,1","128,1,1","1.0","8"
"9","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","7","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2272","-","0","7","1,1,1","128,1,1","1.0","8"
"10","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","8","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2304","-","0","7","1,1,1","128,1,1","1.0","8"
