"Idx","SeqId","AltSeqId","TId","Layer","Trace","Direction","Sub","Module","Op","Kernel","Params","Sil(ns)","TC","Device","Stream","Grid","Block","FLOPs","Bytes"
"1","82","-","35057","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","0","Tensor","__radd__","elementwise_kernel","T=[(1,)],fp32,","2592","-","0","7","1,1,1","128,1,1","1.0","8"
"2","82","-","35057","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","0","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2464","-","0","7","1,1,1","128,1,1","1.0","8"
"3","82","-","35057","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","1","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","1440","-","0","7","1,1,1","128,1,1","1.0","8"
"4","82","-","35057","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","2","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","1408","-","0","7","1,1,1","128,1,1","1.0","8"
"5","82","-","35057","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","3","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","1472","-","0","7","1,1,1","128,1,1","1.0","8"
"6","82","-","35057","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","4","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","1440","-","0","7","1,1,1","128,1,1","1.0","8"
"7","82","-","35057","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","5","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","1472","-","0","7","1,1,1","128,1,1","1.0","8"
"8","82","-","35057","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","6","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","1440","-","0","7","1,1,1","128,1,1","1.0","8"
"9","82","-","35057","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","7","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","1440","-","0","7","1,1,1","128,1,1","1.0","8"
"10","82","-","35057","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","8","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","1407","-","0","7","1,1,1","128,1,1","1.0","8"
"11","82","-","35057","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","9","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","1440","-","0","7","1,1,1","128,1,1","1.0","8"
"12","82","-","35057","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","10","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","1440","-","0","7","1,1,1","128,1,1","1.0","8"
"13","82","-","35057","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","11","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","1440","-","0","7","1,1,1","128,1,1","1.0","8"
"14","82","-","35057","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","12","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","1440","-","0","7","1,1,1","128,1,1","1.0","8"
"15","82","-","35057","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","13","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","1441","-","0","7","1,1,1","128,1,1","1.0","8"
"16","82","-","35057","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","14","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","1440","-","0","7","1,1,1","128,1,1","1.0","8"
"17","82","-","35057","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","15","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","1472","-","0","7","1,1,1","128,1,1","1.0","8"
"18","82","-","35057","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","16","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","1440","-","0","7","1,1,1","128,1,1","1.0","8"
"19","82","-","35057","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","17","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","1440","-","0","7","1,1,1","128,1,1","1.0","8"
